id,job_title,title,company,location,created,description,salary_min,salary_max,contract_type,contract_time,apply_link
69,Software Engineer,Software Engineer,G-Research,"London, UK",2025-11-03T12:48:48Z,"We tackle the most complex problems in quantitative finance, by bringing scientific clarity to financial complexity. From our London HQ, we unite world-class researchers and engineers in an environment that values deep exploration and methodical execution - because the best ideas take time to evolve. Together we’re building a world-class platform to amplify our teams’ most powerful ideas. As part of our engineering team, you’ll shape the platforms and tools that drive high-impact research - des…",71705.36,71705.36,Unknown,full_time,https://www.adzuna.co.uk/jobs/land/ad/5478107319?se=XsKudNrQ8BGFUab2JCqmUQ&utm_medium=api&utm_source=a4dbb817&v=B3BCFC9E28D037516D27BD8E88F159D6B559EEDB
70,Simulation Software Engineer,Simulation Software Engineer,Holt Executive Ltd,"Moorgate, Central London",2025-11-28T11:08:33Z,"Job description A growing space engineering team in the UK is seeking a Simulation Software Engineer to support the development of high-fidelity spacecraft simulators used for mission design, verification, and operations. Youll work alongside software and aerospace engineers to develop simulation tools, integrate flight software, and ensure robust, reliable simulator performance for upcoming spacecraft missions.= What Youll Do Design, implement, and test spacecraft simulators as part of a multi…",85000.0,85000.0,permanent,Unknown,https://www.adzuna.co.uk/jobs/land/ad/5517571681?se=XsKudNrQ8BGFUab2JCqmUQ&utm_medium=api&utm_source=a4dbb817&v=F82853C537BDC8EB7F54D20C30090C1A09AA81A3
71,Machine Learning Engineer,Machine Learning Engineer,G-Research,"London, UK",2025-11-15T20:43:40Z,"We tackle the most complex problems in quantitative finance, by bringing scientific clarity to financial complexity. From our London HQ, we unite world-class researchers and engineers in an environment that values deep exploration and methodical execution - because the best ideas take time to evolve. Together we’re building a world-class platform to amplify our teams’ most powerful ideas. As part of our engineering team, you’ll shape the platforms and tools that drive high-impact research - des…",55714.02,55714.02,Unknown,full_time,https://www.adzuna.co.uk/jobs/land/ad/5498317243?se=hguSddrQ8BGpLLWRBhatZQ&utm_medium=api&utm_source=a4dbb817&v=238960B8D42A7F95DFB8877644AD456F492BE3B6
72,Machine Learning Engineer,Machine Learning Engineer,Oliver James Associates,"Docklands, East London",2025-11-25T07:24:20Z,"Machine Learning Engineer - Canary Wharf - 75k - Hybrid A leading organisation is expanding its AI capability and is looking for a Machine Learning Engineer to help build and scale next-generation NLP and Gen AI solutions. This role sits at the heart of an established data function, working on real production workloads rather than prototypes. You'll play a key role in shaping how intelligent automation, LLMs and ML-driven services are designed, deployed and continuously improved. What you'll be…",60000.0,75000.0,permanent,full_time,https://www.adzuna.co.uk/jobs/details/5512200034?utm_medium=api&utm_source=a4dbb817
73,Machine Learning Engineer,Machine Learning Engineer,Digital Waffle,"The City, Central London",2025-11-26T18:53:29Z,"An AI-driven start-up, backed by $20M in Series A funding, is looking for its first Machine Learning Engineer to help scale their product and infrastructure. The platform transforms educational content into smart, personalised learning tools - and is already seeing rapid user growth and strong traction in the market. This is a unique opportunity to join early, influence the technical roadmap, and work directly with experienced founders and a senior engineering team. What you'll be doing: Design…",80000.0,100000.0,permanent,full_time,https://www.adzuna.co.uk/jobs/details/5515182330?utm_medium=api&utm_source=a4dbb817
74,Machine Learning Engineer,Machine Learning Engineer,The Rank Group,"London, UK",2025-11-07T05:13:26Z,"Job Description We want to expand our Data Science function further within our well-established strong data-driven Centralised Analytical department. Our Data Science mission is to build machine learning models in the production environment relative to Marketing, Customer Insights, and Safer Gambling and establish a strong culture of data-driven decision-making in our organisation's strategy. We are looking for an experienced Machine Learning Engineer to support the delivery of ML products. You…",51300.27,51300.27,Unknown,Unknown,https://www.adzuna.co.uk/jobs/details/5484793169?utm_medium=api&utm_source=a4dbb817
75,Machine Learning Engineer,Machine Learning Engineer,Faculty AI,"London, UK",2025-11-08T12:12:09Z,"Why Faculty? We established Faculty in 2014 because we thought that AI would be the most important technology of our time. Since then, we’ve worked with over 350 global customers to transform their performance through human-centric AI. You can read about our real-world impact here . We don’t chase hype cycles. We innovate, build and deploy responsible AI which moves the needle - and we know a thing or two about doing it well. We bring an unparalleled depth of technical, product and delivery exp…",59944.42,59944.42,Unknown,full_time,https://www.adzuna.co.uk/jobs/details/5487157125?utm_medium=api&utm_source=a4dbb817
76,Machine Learning Engineer,Machine Learning Engineer,Faculty AI,"London, UK",2025-10-29T12:26:47Z,"Why Faculty? We established Faculty in 2014 because we thought that AI would be the most important technology of our time. Since then, we’ve worked with over 350 global customers to transform their performance through human-centric AI. You can read about our real-world impact here . We don’t chase hype cycles. We innovate, build and deploy responsible AI which moves the needle - and we know a thing or two about doing it well. We bring an unparalleled depth of technical, product and delivery exp…",53378.86,53378.86,Unknown,full_time,https://www.adzuna.co.uk/jobs/details/5469354894?utm_medium=api&utm_source=a4dbb817
77,Machine Learning Engineer,Machine Learning Engineer,Faculty AI,"London, UK",2025-09-19T11:08:16Z,"Why Faculty? We established Faculty in 2014 because we thought that AI would be the most important technology of our time. Since then, we’ve worked with over 350 global customers to transform their performance through human-centric AI. You can read about our real-world impact here . We don’t chase hype cycles. We innovate, build and deploy responsible AI which moves the needle - and we know a thing or two about doing it well. We bring an unparalleled depth of technical, product and delivery exp…",55478.34,55478.34,Unknown,full_time,https://www.adzuna.co.uk/jobs/details/5406782366?utm_medium=api&utm_source=a4dbb817
78,Machine Learning Engineer,Machine Learning Engineer,Faculty AI,"London, UK",2025-08-08T11:27:45Z,"Why Faculty? We established Faculty in 2014 because we thought that AI would be the most important technology of our time. Since then, we’ve worked with over 350 global customers to transform their performance through human-centric AI. You can read about our real-world impact here . We don’t chase hype cycles. We innovate, build and deploy responsible AI which moves the needle - and we know a thing or two about doing it well. We bring an unparalleled depth of technical, product and delivery exp…",55283.56,55283.56,Unknown,full_time,https://www.adzuna.co.uk/jobs/details/5343498797?utm_medium=api&utm_source=a4dbb817
